GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,n_pixels,n_non_na_pixels,prop_non_na_pixels,ntl_mean,date
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,22095,0.998869801084991,0.0254063587635756,2016-01-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17758,0.998481866741636,0.273575007915497,2016-02-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26347,1,0.150423347949982,2016-02-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10479,0.99866577718479,0.19683001935482,2016-02-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.0826425403356552,2016-02-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11945,0.995914623978656,0.120873980224133,2016-02-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,22095,0.998869801084991,0.0733994841575623,2016-02-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17747,0.997863368006747,0.339571803808212,2016-03-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26347,1,0.146164789795876,2016-03-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10480,0.998761078814448,0.231761083006859,2016-03-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.0971589311957359,2016-03-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11953,0.996581624145406,0.201856911182404,2016-03-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,22086,0.998462929475588,0.119400076568127,2016-03-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17776,0.999493955580545,0.341685384511948,2016-04-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26347,1,0.188581094145775,2016-04-01
